rank,year,title,page,tconst,worldwide
65,2022,Joker 2022 Re-release,https://www.imdb.com/title/tt7286456/,tt7286456,"$30,497,883"
66,2022,Tad the Lost Explorer and the Emerald Tablet,https://www.imdb.com/title/tt14941698/,tt14941698,"$30,367,599"
67,2022,Vikram,https://www.imdb.com/title/tt9179430/,tt9179430,"$29,837,637"
68,2022,The Unbearable Weight of Massive Talent,https://www.imdb.com/title/tt11291274/,tt11291274,"$29,116,320"
69,2022,Strange World,https://www.imdb.com/title/tt10298840/,tt10298840,"$28,711,976"
70,2022,The 355,https://www.imdb.com/title/tt8356942/,tt8356942,"$27,826,792"
71,2022,Mrs. Harris Goes to Paris,https://www.imdb.com/title/tt5151570/,tt5151570,"$27,190,915"
72,2022,Serial (Bad) Weddings 3,https://www.imdb.com/title/tt10405142/,tt10405142,"$26,951,351"
73,2022,The Kashmir Files,https://www.imdb.com/title/tt10811166/,tt10811166,"$24,821,898"
74,2022,The Confidence Man JP: Episode of the Hero,https://www.imdb.com/title/tt17008472/,tt17008472,"$23,214,581"
75,2022,The Witch: Part 2 - The Other One,https://www.imdb.com/title/tt13721828/,tt13721828,"$23,068,596"
76,2022,The Last 10 Years,https://www.imdb.com/title/tt16444750/,tt16444750,"$22,539,146"
77,2022,Harry Potter and the Chamber of Secrets 2021 Re-release,https://www.imdb.com/title/tt0295297/,tt0295297,"$22,349,685"
78,2022,6/45,https://www.imdb.com/title/tt21800888/,tt21800888,"$22,263,336"
79,2022,Doraemon the Movie: Nobita's Little Star Wars 2021,https://www.imdb.com/title/tt13740078/,tt13740078,"$22,044,058"
80,2022,See How They Run,https://www.imdb.com/title/tt13640696/,tt13640696,"$21,921,551"
81,2022,Ponniyin Selvan: Part I,https://www.imdb.com/title/tt10701074/,tt10701074,"$21,876,105"
82,2022,Silent Parade,https://www.imdb.com/title/tt21608894/,tt21608894,"$21,717,636"
83,2022,Father Stu,https://www.imdb.com/title/tt14439896/,tt14439896,"$21,592,379"
84,2022,Decision to Leave,https://www.imdb.com/title/tt12477480/,tt12477480,"$20,962,050"
85,2022,Emergency Declaration,https://www.imdb.com/title/tt11535228/,tt11535228,"$20,862,730"
86,2022,Turning Red,https://www.imdb.com/title/tt8097030/,tt8097030,"$20,122,621"
87,2022,After Ever Happy,https://www.imdb.com/title/tt13070038/,tt13070038,"$19,151,524"
88,2022,Three Thousand Years of Longing,https://www.imdb.com/title/tt9198364/,tt9198364,"$19,145,896"
89,2022,Beast,https://www.imdb.com/title/tt11301946/,tt11301946,"$18,911,959"
90,2022,Godfather,https://www.imdb.com/title/tt13130308/,tt13130308,"$18,737,287"
91,2022,Bhool Bhulaiyaa 2,https://www.imdb.com/title/tt6455162/,tt6455162,"$18,307,258"
92,2022,The Banshees of Inisherin,https://www.imdb.com/title/tt11813216/,tt11813216,"$17,728,808"
93,2022,Fall,https://www.imdb.com/title/tt15325794/,tt15325794,"$17,253,564"
94,2022,Die Schule der magischen Tiere 2,https://www.imdb.com/title/tt13818742/,tt13818742,"$17,144,704"
95,2022,Wunderschön,https://www.imdb.com/title/tt12194006/,tt12194006,"$16,719,291"
96,2022,The Quintessential Quintuplets Movie,https://www.imdb.com/title/tt15721650/,tt15721650,"$16,716,199"
97,2022,November,https://www.imdb.com/title/tt14542254/,tt14542254,"$16,498,481"
98,2022,Father There Is Only One 3,https://www.imdb.com/title/tt16452664/,tt16452664,"$16,112,265"
99,2022,Radhe Shyam,https://www.imdb.com/title/tt8960382/,tt8960382,"$15,954,804"
100,2022,Blacklight,https://www.imdb.com/title/tt14060094/,tt14060094,"$15,902,207"
101,2022,Operation Mincemeat,https://www.imdb.com/title/tt1879016/,tt1879016,"$15,710,164"
102,2022,Maison de retraite,https://www.imdb.com/title/tt12847680/,tt12847680,"$15,567,804"
103,2022,Bheemla Nayak,https://www.imdb.com/title/tt14209560/,tt14209560,"$15,243,922"
104,2022,Broker,https://www.imdb.com/title/tt13056052/,tt13056052,"$15,153,427"
105,2022,Crayon Shin-chan: Mononoke Ninja Chinpuden,https://www.imdb.com/title/tt16410438/,tt16410438,"$14,895,696"
106,2022,Firestarter,https://www.imdb.com/title/tt1798632/,tt1798632,"$14,889,250"
107,2022,The Wolf of Wall Street 2022 Re-release,https://www.imdb.com/title/tt0993846/,tt0993846,"$14,877,539"
108,2022,X,https://www.imdb.com/title/tt13560574/,tt13560574,"$14,779,858"
109,2022,Super-héros malgré lui,https://www.imdb.com/title/tt13774454/,tt13774454,"$14,770,359"
110,2022,Bros,https://www.imdb.com/title/tt9731598/,tt9731598,"$14,697,881"
111,2022,Triangle of Sadness,https://www.imdb.com/title/tt7322224/,tt7322224,"$14,454,254"
112,2022,The Duke,https://www.imdb.com/title/tt11204094/,tt11204094,"$14,222,161"
113,2022,Sarkaru Vaari Paata,https://www.imdb.com/title/tt12422308/,tt12422308,"$14,199,018"
114,2022,Bodies Bodies Bodies,https://www.imdb.com/title/tt8110652/,tt8110652,"$13,903,816"
115,2022,Memory,https://www.imdb.com/title/tt11827628/,tt11827628,"$13,897,255"
116,2022,Land of Legends,https://www.imdb.com/title/tt10749948/,tt10749948,"$13,732,020"
118,2022,Glass Onion: A Knives Out Mystery,https://www.imdb.com/title/tt11564570/,tt11564570,"$13,280,000"
119,2022,Valimai,https://www.imdb.com/title/tt10806040/,tt10806040,"$13,276,393"
120,2022,Simone: Woman of the Century,https://www.imdb.com/title/tt13389730/,tt13389730,"$13,080,967"
121,2022,Easter Sunday,https://www.imdb.com/title/tt11952606/,tt11952606,"$13,071,438"
122,2022,Guglhupfgeschwader,https://www.imdb.com/title/tt14210958/,tt14210958,"$12,307,072"
123,2022,"Utapri Movie 2, Uta No Prince-Sama Maji Love Starish Tours Movie",https://www.imdb.com/title/tt22012538/,tt22012538,"$12,291,650"
124,2022,Laal Singh Chaddha,https://www.imdb.com/title/tt10028196/,tt10028196,"$12,093,536"
125,2022,Alienoid,https://www.imdb.com/title/tt20168564/,tt20168564,"$12,067,556"
126,2022,Moonage Daydream,https://www.imdb.com/title/tt9883832/,tt9883832,"$12,043,470"
127,2022,Jug Jugg Jeeyo,https://www.imdb.com/title/tt13449624/,tt13449624,"$11,467,726"
128,2022,Bergen,https://www.imdb.com/title/tt12578564/,tt12578564,"$11,325,405"
129,2022,Terrifier 2,https://www.imdb.com/title/tt10403420/,tt10403420,"$11,318,824"
130,2022,Men,https://www.imdb.com/title/tt13841850/,tt13841850,"$11,152,071"
131,2022,Jurassic Park 2022 Re-release,https://www.imdb.com/title/tt0107290/,tt0107290,"$10,374,018"
132,2022,Warriors of Future,https://www.imdb.com/title/tt7375466/,tt7375466,"$10,360,002"
133,2022,The Pirates: The Last Royal Treasure,https://www.imdb.com/title/tt17491040/,tt17491040,"$10,258,331"
134,2022,Chickenhare and the Hamster of Darkness,https://www.imdb.com/title/tt12532368/,tt12532368,"$10,247,825"
135,2022,Rise,https://www.imdb.com/title/tt13531468/,tt13531468,"$10,179,767"
136,2022,Vaillante,https://www.imdb.com/title/tt16444672/,tt16444672,"$10,143,170"
137,2022,Smack Dab Kakha,https://www.imdb.com/title/tt13486236/,tt13486236,"$9,995,945"
138,2022,Table for Six,https://www.imdb.com/title/tt21187542/,tt21187542,"$9,884,524"
139,2022,F3: Fun and Frustration,https://www.imdb.com/title/tt13645322/,tt13645322,"$9,849,193"
140,2022,Talk to Her Undated France Release,https://www.imdb.com/title/tt0287467/,tt0287467,"$9,541,068"
141,2022,Redeeming Love,https://www.imdb.com/title/tt11365186/,tt11365186,"$9,464,198"
142,2022,Devotion,https://www.imdb.com/title/tt7693316/,tt7693316,"$9,445,755"
143,2022,Pearl,https://www.imdb.com/title/tt18925334/,tt18925334,"$9,423,445"
144,2022,Till,https://www.imdb.com/title/tt4960748/,tt4960748,"$8,758,984"
145,2022,"Good Luck to You, Leo Grande",https://www.imdb.com/title/tt13352968/,tt13352968,"$8,634,304"
146,2022,Samrat Prithviraj,https://www.imdb.com/title/tt9637132/,tt9637132,"$8,568,339"
147,2022,Rheingold,https://www.imdb.com/title/tt15536668/,tt15536668,"$8,435,761"
148,2022,Don,https://www.imdb.com/title/tt10709484/,tt10709484,"$8,287,406"
149,2022,Vikram Vedha,https://www.imdb.com/title/tt13131350/,tt13131350,"$8,234,166"
150,2022,Karada Sagashi,https://www.imdb.com/title/tt21250176/,tt21250176,"$8,166,175"
151,2022,Life Is Beautiful,https://www.imdb.com/title/tt13236270/,tt13236270,"$8,113,566"
152,2022,Acharya,https://www.imdb.com/title/tt11563070/,tt11563070,"$8,048,175"
153,2022,[REC] Terror sin pausa,https://www.imdb.com/title/tt21904394/,tt21904394,"$8,041,419"
154,2022,Ducobu Président !,https://www.imdb.com/title/tt19722066/,tt19722066,"$7,858,171"
155,2022,Even if This Love Disappears from the World Tonight,https://www.imdb.com/title/tt21115444/,tt21115444,"$7,810,235"
156,2022,Sword Art Online: Progressive - Scherzo of Deep Night,https://www.imdb.com/title/tt15830702/,tt15830702,"$7,597,857"
157,2022,Finnick,https://www.imdb.com/title/tt15547806/,tt15547806,"$7,544,884"
158,2022,777 Charlie,https://www.imdb.com/title/tt7466810/,tt7466810,"$7,523,995"
159,2022,Bachchhan Paandey,https://www.imdb.com/title/tt10699086/,tt10699086,"$7,387,882"
160,2022,Lesson in Murder,https://www.imdb.com/title/tt18815700/,tt18815700,"$7,348,964"
161,2022,Laid-Back Camp: The Movie,https://www.imdb.com/title/tt14364238/,tt14364238,"$7,304,830"
162,2022,Osomatsusan the Movie 2022 Re-release,https://www.imdb.com/title/tt8866460/,tt8866460,"$7,297,522"
163,2022,Chempion mira,https://www.imdb.com/title/tt13930782/,tt13930782,"$7,107,163"
164,2022,Mobile Suit Gundam: Cucuruz Doan's Island,https://www.imdb.com/title/tt15428330/,tt15428330,"$7,006,640"
165,2022,Menteur 2022 Re-release,https://www.imdb.com/title/tt9487594/,tt9487594,"$6,899,633"
166,2022,She Said,https://www.imdb.com/title/tt14807308/,tt14807308,"$6,748,852"
167,2022,Rabbit Academy,https://www.imdb.com/title/tt12631784/,tt12631784,"$6,744,299"
168,2022,How About Adolf?,https://www.imdb.com/title/tt14005338/,tt14005338,"$6,612,082"
169,2022,National Theatre Live: Prima Facie,https://www.imdb.com/title/tt21093976/,tt21093976,"$6,558,843"
170,2022,Honest Candidate 2,https://www.imdb.com/title/tt22048600/,tt22048600,"$6,433,696"
171,2022,"Farewell, Mr. Haffmann",https://www.imdb.com/title/tt10545704/,tt10545704,"$6,408,729"
172,2022,Cyrano,https://www.imdb.com/title/tt12889404/,tt12889404,"$6,395,311"
173,2022,Marcel the Shell with Shoes On,https://www.imdb.com/title/tt15339456/,tt15339456,"$6,336,735"
174,2022,The New Toy,https://www.imdb.com/title/tt13361648/,tt13361648,"$6,324,794"
175,2022,Bones and All,https://www.imdb.com/title/tt10168670/,tt10168670,"$6,120,403"
176,2022,The Exorcism of God,https://www.imdb.com/title/tt10362566/,tt10362566,"$6,098,813"
177,2022,Notre-Dame on Fire,https://www.imdb.com/title/tt12264966/,tt12264966,"$6,058,274"
178,2022,Kingmaker,https://www.imdb.com/title/tt17491616/,tt17491616,"$6,049,522"
179,2022,Vikrant Rona,https://www.imdb.com/title/tt12015102/,tt12015102,"$6,020,595"
180,2022,Last Seen Alive,https://www.imdb.com/title/tt10242388/,tt10242388,"$5,950,199"
181,2022,The One,https://www.imdb.com/title/tt16410984/,tt16410984,"$5,886,018"
182,2022,The Policeman's Lineage,https://www.imdb.com/title/tt16676718/,tt16676718,"$5,869,939"
183,2022,Maigret,https://www.imdb.com/title/tt10545696/,tt10545696,"$5,797,633"
184,2022,Goliath,https://www.imdb.com/title/tt13399946/,tt13399946,"$5,797,270"
185,2022,Radiation House,https://www.imdb.com/title/tt17161628/,tt17161628,"$5,793,450"
186,2022,Bheeshma Parvam,https://www.imdb.com/title/tt14002046/,tt14002046,"$5,779,651"
187,2022,Fireheart,https://www.imdb.com/title/tt8354218/,tt8354218,"$5,766,782"
188,2022,Irréductible,https://www.imdb.com/title/tt13639204/,tt13639204,"$5,704,956"
189,2022,Jaws 2022 Re-release,https://www.imdb.com/title/tt0073195/,tt0073195,"$5,631,998"
190,2022,The One 2022 Re-release,https://www.imdb.com/title/tt0267804/,tt0267804,"$5,624,487"
191,2022,God's Crooked Lines,https://www.imdb.com/title/tt13229894/,tt13229894,"$5,606,514"
192,2022,Artek: Bolshoe puteshestvie,https://www.imdb.com/title/tt16769394/,tt16769394,"$5,486,204"
193,2022,Jeepers Creepers: Reborn,https://www.imdb.com/title/tt14121726/,tt14121726,"$5,482,117"
194,2022,Confession,https://www.imdb.com/title/tt13182834/,tt13182834,"$5,448,399"
195,2022,Thiruchitrambalam,https://www.imdb.com/title/tt11772746/,tt11772746,"$5,342,111"
196,2022,Mama's Affair,https://www.imdb.com/title/tt15244854/,tt15244854,"$5,331,535"
197,2022,Lifemark,https://www.imdb.com/title/tt20864704/,tt20864704,"$5,276,266"
198,2022,The Wandering Moon,https://www.imdb.com/title/tt15150608/,tt15150608,"$5,262,479"
199,2022,Les Segpa,https://www.imdb.com/title/tt19733052/,tt19733052,"$5,212,123"
200,2022,War Sailor,https://www.imdb.com/title/tt17633184/,tt17633184,"$5,194,738"
1,2021,Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,tt10872600,"$1,906,693,477"
2,2021,The Battle at Lake Changjin,https://www.imdb.com/title/tt13462900/,tt13462900,"$902,548,476"
3,2021,"Hi, Mom",https://www.imdb.com/title/tt13364790/,tt13364790,"$822,009,764"
4,2021,No Time to Die,https://www.imdb.com/title/tt2382320/,tt2382320,"$774,153,007"
5,2021,F9: The Fast Saga,https://www.imdb.com/title/tt5433138/,tt5433138,"$726,229,501"
6,2021,Detective Chinatown 3,https://www.imdb.com/title/tt10370822/,tt10370822,"$686,257,563"
7,2021,Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/,tt7097896,"$506,863,592"
8,2021,Godzilla vs. Kong,https://www.imdb.com/title/tt5034838/,tt5034838,"$470,067,014"
